Bird_ID,Species,Ring,Date,Feather Type,Sample ID,dN15,% Nitrogen,dC13,% Carbon,CN ,KID
2,Guillemot,R76080,14/06/2015,NECK, G2_NA,17.01,14.51,-16.46,45.46,3.66,A
3,Guillemot,R76090,14/06/2015,NECK, G3_NA,17.7,15.28,-16.82,48.89,3.73,B
4,Guillemot,R76060,13/06/2015,NECK, G4_NA,18.71,14.85,-16.75,46.46,3.65,C
5,Guillemot,R76312,20/06/2015,NECK, G5_NA,17.15,14.46,-16.02,44.24,3.57,D
6,Guillemot,R76319,13/06/2015,NECK, G6_NA,18.44,14.5,-16.79,44.82,3.61,E
7,Guillemot,X28493,13/06/2015,NECK, G7_NA,18.01,14.01,-16.37,44,3.66,F
8,Guillemot,R76641,13/06/2015,NECK, G8_NA,18.71,15.7,-16.55,49.04,3.65,G
9,Guillemot,Y09008,13/06/2015,NECK, G9_NA,18.43,15.1,-16.57,47.1,3.64,H
13,Guillemot,T86484,13/06/2015,NECK, G13_NA,18.6,15.27,-16.49,47.27,3.61,I
17,Guillemot,y09016,20/06/2015,NECK, G17_NA,19.16,15.9,-16.5,49.12,3.6,J
18,Guillemot,r76281,16/06/2015,NECK, G18_NA,18.54,14.74,-16.15,45.43,3.6,K
19,Guillemot,r76316,13/06/2015,NECK, G19_NA,18.6,15.46,-16.78,47.78,3.61,L
21,Guillemot,R02615,13/06/2015,NECK, G21_NA,20.01,14.2,-15.6,44.48,3.65,M
22,Guillemot,r76650,13/06/2015,NECK, G22_NA,18.63,14.05,-16.48,43.14,3.58,N
24,Guillemot,r76644,13/06/2015,NECK, G24_NA,18.72,13.69,-17.44,42.35,3.61,O
30,Guillemot,r76182,13/06/2015,NECK, G30_NA,15.64,15.54,-18.03,48.4,3.63,P
31,Guillemot,r01781,13/06/2015,NECK, G31_NA,18.44,15.28,-16.63,47.51,3.63,Q
34,Guillemot,y09011,13/06/2015,NECK, G34_NA,17.32,14.95,-16.45,48.74,3.8,R
